marker;r2_null;r2_full;r2_delta;lrt_stat;lrt_df;lrt_pvalue;beta_marker;beta_marker_se;beta_marker_pvalue;r2_delta_ci_low;r2_delta_ci_high;n_bootstrap
ctx_rh_lingual;0.23935545664731914;0.3756567401352174;0.13630128348789824;11.161622559971647;1;0.0008350685560710617;-12.596913547324718;3.585482510526942;0.0004425598816089496;-0.0003039285469722416;0.37637061859350823;500
ctx_rh_medialorbitofrontal;0.23935545664731914;0.4565489285089992;0.21719347186168006;19.596458800043592;1;9.56463115663541e-06;24.41674241631612;5.118534925132654;1.8398828112469528e-06;0.03282840563736804;0.5032216480151693;500
ctx_rh_middletemporal;0.23935545664731914;0.28055123995744513;0.041195783310125994;2.761798100748308;1;0.09653967546021953;-3.6150514412768104;2.14934201079027;0.09258163556307775;-0.004338228665510742;0.24483653831593513;500
ctx_rh_paracentral;0.23935545664731914;0.2889869699679237;0.04963151332060459;3.6150882117486844;1;0.057257685179177786;-10.681283806543144;5.538609163370439;0.05379125835218668;-0.003540030710954779;0.23970195722980794;500
ctx_rh_parahippocampal;0.23935545664731914;0.24105450765495262;0.0016990510076334842;0.01847255648465307;1;0.8918894391099438;-2.332271602896971;17.13755447247733;0.8917491265421623;-0.02487315960022209;0.18036792379662767;500
ctx_rh_parsopercularis;0.23935545664731914;0.2786905420674204;0.03933508542010125;3.1243400418330793;1;0.07713109735295232;-9.006534695575702;5.027283058663418;0.0732080846726011;-0.0033965489633621918;0.18064539673171368;500
ctx_rh_parsorbitalis;0.23935545664731914;0.3435917996229815;0.10423634297566234;8.05414353934907;1;0.004539970001911566;19.84243008980068;6.741560648840898;0.0032473440385484757;-0.011840565183342583;0.3105155483271486;500
ctx_rh_parstriangularis;0.23935545664731914;0.26968347705056417;0.030328020403245032;2.7114187703162997;1;0.09963234579210953;-7.521417100984379;4.523641668193066;0.0963743572797897;-0.00703335257379376;0.20303394581899958;500
ctx_rh_pericalcarine;0.23935545664731914;0.4487397254451199;0.20938426879780078;15.620941179302804;1;7.739273251168207e-05;-25.048158167635293;6.154131100100839;4.698545074678191e-05;0.0776982091725324;0.45354656006243005;500
ctx_rh_postcentral;0.23935545664731914;0.29714331894903084;0.05778786230171171;4.04467494304464;1;0.044310911561603494;-7.173577438885998;3.4911740706021717;0.0399007353833312;-0.015193701297664276;0.30325435351965235;500
ctx_rh_posteriorcingulate;0.23935545664731914;0.592031013550402;0.35267555690308283;35.50700361479119;1;2.5413517271096165e-09;-30.167400910253885;4.405246114460842;7.485684014557753e-12;0.33942120479960836;0.6170039089982229;500
ctx_rh_precentral;0.23935545664731914;0.29220084879889524;0.052845392151576104;3.138808548007546;1;0.0764496355411554;-4.150395048990279;2.290765233706008;0.07001800940406354;-0.013177511446185428;0.2126866781783744;500
ctx_rh_rostralanteriorcingulate;0.23935545664731914;0.39524421307161656;0.15588875642429742;11.555874789717222;1;0.0006753552558417811;-21.90938240232345;6.127470460353989;0.00034942578787575557;0.05253281748334763;0.3946256500555324;500
ctx_rh_precuneus;0.23935545664731914;0.35737820960972116;0.11802275296240203;7.128033470427852;1;0.007588791337393355;-9.438766175086963;3.374946854532128;0.005162497020842588;-0.0323159990162697;0.3854937748205285;500
ctx_rh_rostralmiddlefrontal;0.23935545664731914;0.2502392614896173;0.010883804842298145;0.8650919251883238;1;0.3523176645357965;1.4607969524583055;1.5645987125267309;0.35048137617256137;-0.02728512215805924;0.20700849761025913;500
ctx_rh_superiorfrontal;0.23935545664731914;0.2865985773712254;0.04724312072390627;1.8261854042682444;1;0.17657877176579337;-2.328432872553296;1.6766146678826126;0.16490256983220408;-0.04257661491776872;0.2823846967542217;500
ctx_rh_superiorparietal;0.23935545664731914;0.24128282880958773;0.001927372162268598;0.11643609020518397;1;0.7329324508576371;-0.9698871056746496;2.840881085847395;0.7327997452482203;-0.015430502102718726;0.13419950337604405;500
ctx_rh_superiortemporal;0.23935545664731914;0.24415247179466296;0.004797015147343819;0.16367804600542968;1;0.6857925590552547;-1.3759047818315653;3.393173014255045;0.6851158392584771;-0.020750544996826766;0.17554431454586622;500
ctx_rh_supramarginal;0.23935545664731914;0.31302197252263475;0.07366651587531561;6.206586118911105;1;0.012727585154003416;-7.846761626703948;3.0680653461956964;0.010540933039184627;-0.00499722963357615;0.2636348170609567;500
ctx_rh_temporalpole;0.23935545664731914;0.2757531956751352;0.03639773902781604;1.424641854235574;1;0.23264088511253345;-9.065015593587592;7.4427686376820095;0.2232380960249427;-0.012620619937671981;0.21649751776020124;500
ctx_rh_transversetemporal;0.23935545664731914;0.29121517231033855;0.05185971566301942;4.435556975616464;1;0.03519773351061502;-54.24987606873958;25.53202001649825;0.03360513601505393;-0.0006927096823458778;0.2915436588136764;500
